"Reference","Value","Footprint","Qty"
"C1, C2, C5, C6","100pF","Capacitor_SMD:C_0402_1005Metric","4"
"C3","0.0033uF Mylar","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","1"
"C4, C11-C24, C26-C37, C40-C60, C62-C82","100nF","Capacitor_SMD:C_0402_1005Metric","69"
"C7","0.1uF","Capacitor_THT:C_Rect_L7.0mm_W2.5mm_P5.00mm","1"
"C8","100pf","Capacitor_SMD:C_0402_1005Metric","1"
"C9","1nF","Capacitor_SMD:C_0402_1005Metric","1"
"C10","10nF","Capacitor_SMD:C_0402_1005Metric","1"
"C25","22pF","Capacitor_SMD:C_0402_1005Metric","1"
"C38, C39","10uF","Capacitor_THT:C_Radial_D5.0mm_H7.0mm_P2.00mm","2"
"C61","330nF","Capacitor_SMD:C_0402_1005Metric","1"
"D1","U19,1","Diode_SMD:D_0402_1005Metric","1"
"D2","U19,2","Diode_SMD:D_0402_1005Metric","1"
"D3, D30, D32","U19,3","Diode_SMD:D_0402_1005Metric","3"
"D4, D29, D31","U19,4","Diode_SMD:D_0402_1005Metric","3"
"D5","U19,5","Diode_SMD:D_0402_1005Metric","1"
"D6","U19,6","Diode_SMD:D_0402_1005Metric","1"
"D7","U19,7","Diode_SMD:D_0402_1005Metric","1"
"D8","U19,8","Diode_SMD:D_0402_1005Metric","1"
"D9","U20,6","Diode_SMD:D_0402_1005Metric","1"
"D10","U20,7","Diode_SMD:D_0402_1005Metric","1"
"D11","U21,1","Diode_SMD:D_0402_1005Metric","1"
"D12","U21,2","Diode_SMD:D_0402_1005Metric","1"
"D13","U21,3","Diode_SMD:D_0402_1005Metric","1"
"D14","U21,4","Diode_SMD:D_0402_1005Metric","1"
"D15","U21,5","Diode_SMD:D_0402_1005Metric","1"
"D16","U21,8","Diode_SMD:D_0402_1005Metric","1"
"D17","U21,7","Diode_SMD:D_0402_1005Metric","1"
"D18","U21,6","Diode_SMD:D_0402_1005Metric","1"
"D19","U20,8","Diode_SMD:D_0402_1005Metric","1"
"D20","U20,2","Diode_SMD:D_0402_1005Metric","1"
"D21","U20,1","Diode_SMD:D_0402_1005Metric","1"
"D22","~","Diode_SMD:D_0402_1005Metric","1"
"D23","U20,3","Diode_SMD:D_0402_1005Metric","1"
"D24","LED","LED_THT:LED_D3.0mm_Clear","1"
"D25","U20,4","Diode_SMD:D_0402_1005Metric","1"
"D26","U20,5","Diode_SMD:D_0402_1005Metric","1"
"D27, D28","1N5819","Diode_SMD:D_0402_1005Metric","2"
"H1-H3","MountingHole","MountingHole:MountingHole_3.2mm_M3_DIN965","3"
"IC2","AD633ARZ-RL","Package_SO:SOIC-8_3.9x4.9mm_P1.27mm","1"
"J1","Input A","Custom_Footprints:Cliff_3.5mm_Stereo_Jack","1"
"J2","Input B","Custom_Footprints:Cliff_3.5mm_Stereo_Jack","1"
"J3","Function IN","Custom_Footprints:Cliff_3.5mm_Stereo_Jack","1"
"J4","( 10A / |B| ) /  ( A * B / 10 )","Custom_Footprints:Cliff_3.5mm_Stereo_Jack","1"
"J5","Output F(x)","Custom_Footprints:Cliff_3.5mm_Stereo_Jack","1"
"J6","Power","Custom_Footprints:Eurorack_10_pin_header","1"
"J7","Full-Wave Rectifier B","Custom_Footprints:Cliff_3.5mm_Stereo_Jack","1"
"J8","A - B","Custom_Footprints:Cliff_3.5mm_Stereo_Jack","1"
"J9","Negative Half-Wave Rectifier B","Custom_Footprints:Cliff_3.5mm_Stereo_Jack","1"
"J10","Half Wave A + -B","Custom_Footprints:Cliff_3.5mm_Stereo_Jack","1"
"J11","Inverted Out B","Custom_Footprints:Cliff_3.5mm_Stereo_Jack","1"
"J12, J13","CV Select","Custom_Footprints:Cliff_3.5mm_Stereo_Jack","2"
"J14","Conn_01x12_Pin","Connector_PinHeader_2.54mm:PinHeader_1x18_P2.54mm_Vertical","1"
"J15","Inverted Out A","Custom_Footprints:Cliff_3.5mm_Stereo_Jack","1"
"J16","Full-Wave Rectifier A","Custom_Footprints:Cliff_3.5mm_Stereo_Jack","1"
"J17","Half-Wave Rectifier A","Custom_Footprints:Cliff_3.5mm_Stereo_Jack","1"
