Comment,Designator,Footprint,LCSC
1k,"R105,R106,R107,R108,R109,R113,R17,R2,R35,R37,R38,R60,R61,R62,R80,R82,R83,R87,R88,R89,R90,R91,R92,R93,R94,R95,R96,R97",R_0402_1005Metric,C11702
LM4040DBZ-10,U18,SOT-23,C129969
10nF,C10,C_0402_1005Metric,C15195
1nF,C9,C_0402_1005Metric,C1523
100pF,"C1,C11,C12,C13,C14,C15,C16,C19,C2,C20,C21,C22,C23,C24,C26,C27,C28,C29,C30,C31,C32,C33,C34,C35,C36,C37,C4,C40,C41,C42,C43,C44,C45,C46,C47,C48,C49,C5,C50,C51,C52,C53,C54,C55,C56,C57,C58,C59,C6,C60,C62,C63,C64,C65,C66,C67,C68,C69,C70,C71,C72,C73,C74,C75,C76,C77,C78,C8,C80,C81,C82",C_0402_1005Metric,C1525
TL082,"U1,U10,U11,U12,U14,U15,U17,U2,U3,U37,U4,U5,U6,U7,U8,U9",SOIC-8_3.9x4.9mm_P1.27mm,C15322
22pF,C25,C_0402_1005Metric,C1555
10k thermistor,R49,R_0402_1005Metric,C178739
1N5819HW,"D33,D34",D_SOD-123,C191023
300k,R18,R_0402_1005Metric,C23024
220,R81,R_0402_1005Metric,C25091
330k,R51,R_0402_1005Metric,C25554
470k,"R45,R52",R_0402_1005Metric,C25562
100k,"R112,R15,R27,R58,R59,R77,R78,R99",R_0402_1005Metric,C25741
10k,"R1,R10,R100,R102,R103,R11,R111,R12,R13,R14,R19,R20,R22,R23,R26,R29,R3,R31,R32,R34,R36,R39,R4,R40,R41,R42,R44,R5,R50,R53,R66,R67,R68,R69,R7,R72,R75,R8,R84,R85,R86,R9",R_0402_1005Metric,C25744
11k,"R70,R74",R_0402_1005Metric,C25749
12k,"R71,R73",R_0402_1005Metric,C25752
18k,R101,R_0402_1005Metric,C25762
20k,"R24,R28,R30",R_0402_1005Metric,C25765
3k,"R16,R64,R98",R_0402_1005Metric,C25779
47k,"R43,R54",R_0402_1005Metric,C25792
75k,"R21,R33",R_0402_1005Metric,C25798
4.3k,R63,R_0402_1005Metric,C25899
4.7k,R104,R_0402_1005Metric,C25900
10M,R57,R_0402_1005Metric,C26082
1.0M,"R76,R79",R_0402_1005Metric,C26083
7.1k,R25,R_0402_1005Metric,C270586
2k,"R110,R46,R47,R48,R65",R_0402_1005Metric,C4109
FMBM5551,"TR1,TR2,TR3,TR4,TR5",SOT-23-6_Handsoldering,C462753
LM78M05_TO252,U36,TO-252-2,C544492
CD4051,"U22,U23,U24,U25,U26,U27,U28,U32,U33,U34,U35",TSSOP-16-1EP_4.4x5mm_P0.65mm_EP3x3mm,C54587
330nF,C61,C_0402_1005Metric,C609906
AD633ARZ-RL,U16,SOIC-8_3.9x4.9mm_P1.27mm,C650391
74HC148,"U19,U31",SOIC-16W_5.3x10.2mm_P1.27mm,C6819
TL084,U13,SOIC-14_3.9x8.7mm_P1.27mm,C7917
LM339,"U20,U21,U29,U30",SOIC-14_3.9x8.7mm_P1.27mm,C7948
"U19,1","D1,D10,D11,D12,D13,D14,D15,D16,D17,D18,D19,D2,D20,D21,D22,D23,D25,D26,D29,D3,D30,D31,D32,D4,D5,D6,D7,D8,D9",D_SOD-123,C81598
MountingHole,H1,MountingHole_3.2mm_M3_DIN965,
MountingHole,H2,MountingHole_3.2mm_M3_DIN965,
MountingHole,H3,MountingHole_3.2mm_M3_DIN965,
